2025-04-15 10:05:24 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:25 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:25 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:25 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:25 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:26 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:26 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:26 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:26 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:27 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:27 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:27 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:28 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:28 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:28 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:28 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:29 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:29 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:29 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:29 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:30 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:30 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:30 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:30 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:31 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:31 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:31 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:32 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:32 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:32 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:32 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:33 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:33 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:33 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:33 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:34 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:34 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:34 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:34 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:35 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:35 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:35 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:35 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:36 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:36 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:36 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:36 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:37 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:37 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:37 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:37 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:38 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:38 [ 1508] INFO  : 0,-128,-1
